account_number,sub_account_number,account_description,account_type,category_name,category_abbreviation
506,100,WAGES-MANAGEMENT,A,MINE CHART,MINE
506,200,WAGES-OFFICE,A,MINE CHART,MINE
506,300,WAGES-GEN LABOR,A,MINE CHART,MINE
506,400,WAGES-SALES,A,MINE CHART,MINE
506,500,WAGES-SS,A,MINE CHART,MINE
507,,WAGE MDSE EXPENSE,A,MINE CHART,MINE
515,,COMMISSIONS,A,MINE CHART,MINE
515,100,CARBON CNTY PERMIT FEES,A,MINE CHART,MINE
515,200,EMERY CNTY PERMIT FEES,A,MINE CHART,MINE
517,,CONTRACT LABOR,A,MINE CHART,MINE
517,100,CONTRCT LABR-LAUNDRY,A,MINE CHART,MINE
517,200,CONTRCT LABR-DELIVERIES,A,MINE CHART,MINE
517,300,CONTRACT LABOR-FENCING,A,MINE CHART,MINE
518,,FUTA TAX EXPENSE,A,MINE CHART,MINE
519,,SUTA TAX EXPENSE,A,MINE CHART,MINE
520,,FICA TAX EXPENSE,A,MINE CHART,MINE
521,,WORKMAN COMP INSURANCES,A,MINE CHART,MINE
523,,401 K PLAN,A,MINE CHART,MINE
525,,HEALTH INSURANCE,A,MINE CHART,MINE
530,,TRAVEL EXPENSES,A,MINE CHART,MINE
530,100,MILEAGE REIMBURSEMENT,A,MINE CHART,MINE
535,,REPAIRS & MAINT-VEHICLES,A,MINE CHART,MINE
535,100,REPAIRS & MAINT-TRUCKS,A,MINE CHART,MINE
535,200,REPAIRS & MAINT-TRAILERS,A,MINE CHART,MINE
535,300,R&M-VEH-20 CAR HAULER TRAILER,A,MINE CHART,MINE
535,301,R&M-VEH-83 HORSE TRAILER,A,MINE CHART,MINE
535,302,R&M-30 FT GOOSE NECK TRAILER,A,MINE CHART,MINE
535,500,R&M-SHELVING,A,MINE CHART,MINE
535,600,R&M-TOOLS,A,MINE CHART,MINE
535,302,R&M- 30 BIG BUBBA TRAILER,A,MINE CHART,MINE
535,400,R&M-LUMBER,A,MINE CHART,MINE
536,,GAS & OIL,A,MINE CHART,MINE
537,,DIESEL FUEL TAX,A,MINE CHART,MINE
540,,FREIGHT EXPENSE,A,MINE CHART,MINE
541,,LOADING FEE EXPENSE,A,MINE CHART,MINE
545,,ADVERTISING & PROMOTIONS,A,MINE CHART,MINE
549,,ROYALTIES,A,MINE CHART,MINE
550,,AP DISCOUNTS LOST,A,MINE CHART,MINE
560,,OTHER OPERATING EXP,A,MINE CHART,MINE
561,,TOTAL OPERATING EXP,T,MINE CHART,MINE
563,,GENERAL & ADMINISTRATIVE EXP,H,MINE CHART,MINE
564,,RENT-VEHICLES,H,MINE CHART,MINE
565,,RENT-BUILDING,A,MINE CHART,MINE
566,,RENT-EQUIPMENT & VEHICLES,A,MINE CHART,MINE
567,,RENT-LAND,A,MINE CHART,MINE
570,,REPAIRS & MAINT-BUILDING,A,MINE CHART,MINE
570,600,REPAIRS & MAINT PLUMBING,A,MINE CHART,MINE
570,800,REPAIRS & MAINT-BUILDINGINT,A,MINE CHART,MINE
571,,REPAIR & MAINTENANCE EQUIPMENT,A,MINE CHART,MINE
572,,LANDSCAPING,A,MINE CHART,MINE
573,300,BUILDING SECURITY LOCK & KEY,A,MINE CHART,MINE
574,,COMPUTER SOFTWARE MAINTENANCE,A,MINE CHART,MINE
580,,UTILITIES-FUEL,A,MINE CHART,MINE
581,,UTILITIES-ELECTRIC,A,MINE CHART,MINE
582,,UTILITIES-WATER & SEWER,A,MINE CHART,MINE
583,,UTILITIES-GARBAGE,A,MINE CHART,MINE
584,,UTILITIES-PHONE,A,MINE CHART,MINE
584,100,UTILITIES-CELL PHONE,A,MINE CHART,MINE
584,200,UTILITIES-INTERNET,A,MINE CHART,MINE
585,,UTILITIES-MISC,A,MINE CHART,MINE
590,,PROPERTY TAX,A,MINE CHART,MINE
595,,PERSONAL PROPERTY TAX,A,MINE CHART,MINE
599,,DEPLETION EXPENSE,A,MINE CHART,MINE
600,,DEPRECIATION EXP-VEHICLES,A,MINE CHART,MINE
600,100,DEPRECIATION EXP-TRAILERS,A,MINE CHART,MINE
605,,DEPRECIATION EXP-EQUIPMENT,A,MINE CHART,MINE
607,,DEPRECIATION EXP-F & F,A,MINE CHART,MINE
609,,DEPRECIATION EXP-IMPROVEMENTS,A,MINE CHART,MINE
611,,DEPRECIATION EXP-BUILDINGS,A,MINE CHART,MINE
613,,AMORTIZATION EXPENSE,A,MINE CHART,MINE
615,,CASUALTY/PROPERTY INSURANCE,A,MINE CHART,MINE
620,,VEHICLE INSURANCE,A,MINE CHART,MINE
621,,INSURANCE,A,MINE CHART,MINE
625,,"OTHER PREMISE, EQUIP & VEH EXP",A,MINE CHART,MINE
626,,"TOTAL PREMISE, EQUIP & VEH EXP",T,MINE CHART,MINE
628,,FACTORING FEE EXPENSE,A,MINE CHART,MINE
629,,ACCOUNTING FEES,A,MINE CHART,MINE
630,,PROFESSIONAL FEES,A,MINE CHART,MINE
631,,LEGAL FEES,A,MINE CHART,MINE
635,,OFFICE SUPPLIES EXPENSE,A,MINE CHART,MINE
638,,SUPPLIES,A,MINE CHART,MINE
639,,PARTS EXPENSE,A,MINE CHART,MINE
640,,POSTAGE EXPENSE,A,MINE CHART,MINE
650,,PERMITS & LICENSES,A,MINE CHART,MINE
655,,SUBSCRIPTIONS & MEMBERSHIPS,A,MINE CHART,MINE
659,,FILING FEES,A,MINE CHART,MINE
665,,FINES - PENALTY,A,MINE CHART,MINE
675,,BANK CHARGES,A,MINE CHART,MINE
676,,BANKCARD DISCOUNTS,A,MINE CHART,MINE
689,,DONATIONS,A,MINE CHART,MINE
690,,INCOME TAX PROVISION EXP,A,MINE CHART,MINE
691,,MISC TAX,A,MINE CHART,MINE
695,,FEED,A,MINE CHART,MINE
696,,SEED,A,MINE CHART,MINE
700,,GROCERY EXPENSE,A,MINE CHART,MINE
703,,CLOTHING EXPENSE,A,MINE CHART,MINE
707,,EDUCA.& TRAINING EXPENSE,A,MINE CHART,MINE
709,,ENTERTAINMENT EXPENSE,A,MINE CHART,MINE
