account_number,sub_account_number,account_description,account_type,category_name,category_abbreviation
227,100,ACCRUED FAET TAXES-FIREAREMS,A,MISCELLANEOUS CHART,MISC
246,,UNEARNED REVENUE,A,MISCELLANEOUS CHART,MISC
246,100,UNEARNED REVENUE-PREPAID AR,A,MISCELLANEOUS CHART,MISC
246,1,UNEARNED REVENUE,A,MISCELLANEOUS CHART,MISC
246,2,SECURITY DEPOSITS,A,MISCELLANEOUS CHART,MISC
248,,OTHER CURRENT LIABILITIES,A,MISCELLANEOUS CHART,MISC
248,100,PREPAID ACCOUNTS REC,A,MISCELLANEOUS CHART,MISC
249,,TOTAL CURRENT LIABILITIES,T,MISCELLANEOUS CHART,MISC
250,,LONG TERM LIABILITIES,H,MISCELLANEOUS CHART,MISC
270,,LONG TERM CONTRACTS & NT PAY,A,MISCELLANEOUS CHART,MISC
275,,LONG TERM LOANS,A,MISCELLANEOUS CHART,MISC
276,,OTHER LONG TERM NOTES PAYABLE,A,MISCELLANEOUS CHART,MISC
285,,UNITS PAY S.C.,A,MISCELLANEOUS CHART,MISC
290,,TOTAL LONG TERM LIABILITIES,T,MISCELLANEOUS CHART,MISC
299,,TOTAL LIABILITIES,T,MISCELLANEOUS CHART,MISC
300,,STOCKHOLDERS EQUITY,H,MISCELLANEOUS CHART,MISC
301,,CAPITAL STOCK,A,MISCELLANEOUS CHART,MISC
320,,PAID IN CAP. IN EXCESS OF PAR,A,MISCELLANEOUS CHART,MISC
325,,DISTRIBUTIONS,A,MISCELLANEOUS CHART,MISC
335,,DEBTS NOT COVERED,A,MISCELLANEOUS CHART,MISC
340,,BEGINNING RETAINED EARNINGS,A,MISCELLANEOUS CHART,MISC
350,,RETAINED EARNINGS,A,MISCELLANEOUS CHART,MISC
398,,TOTAL OWNERS EQUITY,T,MISCELLANEOUS CHART,MISC
399,,TOT. LIAB. & OWNERSS EQUITY,T,MISCELLANEOUS CHART,MISC
400,,INCOME STATEMENT,H,MISCELLANEOUS CHART,MISC
402,,REVENUE,H,MISCELLANEOUS CHART,MISC
404,,**,H,MISCELLANEOUS CHART,MISC
405,,SALES,H,MISCELLANEOUS CHART,MISC
405,100,SALES-PURCHASED GOODS,A,MISCELLANEOUS CHART,MISC
405,200,SALES-MANUFACTURED GOODS,A,MISCELLANEOUS CHART,MISC
405,300,SALES-BIOVERE,A,MISCELLANEOUS CHART,MISC
405,400,SALES-PHONE,A,MISCELLANEOUS CHART,MISC
405,500,SALES-OTHER,A,MISCELLANEOUS CHART,MISC
405,600,SALES-FREIGHT,A,MISCELLANEOUS CHART,MISC
405,700,SALES-HALF.COM,A,MISCELLANEOUS CHART,MISC
405,800,SALES-SELLER CENTRAL,A,MISCELLANEOUS CHART,MISC
405,950,SALES-INTERCOMPANY,A,MISCELLANEOUS CHART,MISC
405,1000,DIRECTORY LISTINGS,A,MISCELLANEOUS CHART,MISC
405,15,POTATOES-COMMERCIAL-MTG,A,MISCELLANEOUS CHART,MISC
405,2000,HOSTINGS,A,MISCELLANEOUS CHART,MISC
405,3000,DEVELOPMENT,A,MISCELLANEOUS CHART,MISC
405,5000,SALES-DESERT MUNITIONS,A,MISCELLANEOUS CHART,MISC
421,,WAGE MDSE REVENUE,A,MISCELLANEOUS CHART,MISC
422,,RETURNS & ALLOWANCES,A,MISCELLANEOUS CHART,MISC
425,,DISCOUNTS,A,MISCELLANEOUS CHART,MISC
428,,SALES TAX,A,MISCELLANEOUS CHART,MISC
428,100,FIREARMS FAET TAX,A,MISCELLANEOUS CHART,MISC
430,,NET SALES,T,MISCELLANEOUS CHART,MISC
432,,COST OF GOODS SOLD,H,MISCELLANEOUS CHART,MISC
432,10,COST OF GOODS SOLD,A,MISCELLANEOUS CHART,MISC
432,100,COGS-PURCHASED GOODS,A,MISCELLANEOUS CHART,MISC
432,200,COGS-MANUFACTURED GOODS,A,MISCELLANEOUS CHART,MISC
432,300,COGS-BIOVERE,A,MISCELLANEOUS CHART,MISC
